Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status_demographicsCosine,Status_travelJaccard,Status_dtwAllEdges,Status_dtwCommunication,Status_glPhone-undir5,Status_glEmail-undir5
490041,0,635665,1737307447,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,0,490041,1737321539,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
599956,0,635665,1737352151,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
490041,0,635665,1737352836,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,0,589639,1737364046,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,0,635665,1737378632,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
599956,0,589639,1737382150,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,0,635665,1737382900,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
490041,1,589639,1737384326,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
490041,1,589639,1737423964,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
490041,1,635665,1737432798,1.0,0.0,0.0,34.5741,-42.0541,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,common,common
490041,1,599956,1737458187,1.0,0.0,0.0,34.5741,-42.0541,34.2958,-39.025999999999996,supplementary,out of pairing,supplementary,supplementary,common,supplementary
490041,0,599956,1737462643,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
599956,1,490041,1737479243,1.0,0.0,0.0,34.2958,-39.025999999999996,34.5741,-42.0541,supplementary,out of pairing,supplementary,supplementary,common,supplementary
490041,0,589639,1737502506,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
490041,0,599956,1737505437,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
599956,1,490041,1737511222,1.0,0.0,0.0,34.2958,-39.025999999999996,34.5741,-42.0541,supplementary,out of pairing,supplementary,supplementary,common,supplementary
490041,0,589639,1737519706,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,1,589639,1737522226,1.0,0.0,0.0,34.2958,-39.025999999999996,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
490041,1,635665,1737534576,1.0,0.0,0.0,34.5741,-42.0541,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,common,common
599956,0,635665,1737537495,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
490041,0,599956,1737559018,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
490041,1,589639,1737559895,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
533140,0,591682,1737990027,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
568093,0,616050,1738410525,1.0,,,,,,,supplementary,out of pairing,common,common,common,out of pairing
632150,1,635665,1738495944,1.0,2.0,0.0,-27.2563,91.7676,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,common,common
635665,1,568093,1739004551,1.0,0.0,0.0,29.3296,-37.8076,28.3004,-47.4036,out of pairing,supplementary,supplementary,supplementary,supplementary,out of pairing
616050,1,632150,1739177038,1.0,2.0,2.0,-20.9062,92.3982,-27.2563,91.7676,out of pairing,out of pairing,common,common,supplementary,common
632150,1,568093,1739485866,1.0,2.0,0.0,-27.2563,91.7676,28.3004,-47.4036,out of pairing,out of pairing,common,common,supplementary,out of pairing
568093,0,632150,1739527756,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,out of pairing
533140,0,464459,1739819614,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,out of pairing,supplementary
533140,0,616050,1739890866,1.0,,,,,,,supplementary,out of pairing,common,common,out of pairing,supplementary
533140,0,616050,1740022871,1.0,,,,,,,supplementary,out of pairing,common,common,out of pairing,supplementary
568093,0,533140,1740501738,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,out of pairing,out of pairing
635665,0,512397,1740978562,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,out of pairing
632150,1,635665,1741288720,1.0,2.0,0.0,-27.2563,91.7676,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,common,common
635665,0,550287,1741316255,1.0,,,,,,,out of pairing,out of pairing,common,common,out of pairing,out of pairing
512397,0,635665,1741406744,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,out of pairing
635665,0,559657,1741428873,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
635665,0,616050,1741584851,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,supplementary
512397,0,635665,1741754097,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,out of pairing
533140,1,591682,1741754587,1.0,2.0,2.0,-21.8004,89.7045,-22.6503,92.6106,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
635665,0,550287,1741836865,1.0,,,,,,,out of pairing,out of pairing,common,common,out of pairing,out of pairing
635665,0,512397,1741876326,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,out of pairing
533140,0,591682,1742050406,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
568093,0,464459,1742198528,1.0,,,,,,,supplementary,supplementary,common,common,supplementary,out of pairing
635665,0,512397,1742260811,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,out of pairing
635665,1,533140,1742402826,1.0,0.0,2.0,29.3296,-37.8076,-21.8004,89.7045,out of pairing,out of pairing,supplementary,supplementary,out of pairing,common
635665,0,559657,1742404514,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
616050,1,533140,1742420666,1.0,2.0,2.0,-20.9062,92.3982,-21.8004,89.7045,supplementary,out of pairing,common,common,out of pairing,common
533140,1,616050,1742666986,1.0,2.0,2.0,-21.8004,89.7045,-20.9062,92.3982,supplementary,out of pairing,common,common,out of pairing,supplementary
568093,0,632150,1742724886,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,out of pairing
635665,0,559657,1742773068,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
635665,0,559657,1742783812,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,0,635665,1742858478,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,out of pairing
632150,1,464459,1743175017,1.0,2.0,0.0,-27.2563,91.7676,25.0754,-40.6293,out of pairing,out of pairing,common,common,common,common
635665,0,559657,1743181539,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
616050,1,533140,1743216716,1.0,2.0,2.0,-20.9062,92.3982,-21.8004,89.7045,supplementary,out of pairing,common,common,out of pairing,common
635665,0,512397,1743265321,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,out of pairing
533140,0,464459,1743339329,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,out of pairing,supplementary
533140,0,464459,1743537857,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,out of pairing,supplementary
635665,0,512397,1743792331,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,out of pairing
635665,1,533140,1743928792,1.0,0.0,2.0,29.3296,-37.8076,-21.8004,89.7045,out of pairing,out of pairing,supplementary,supplementary,out of pairing,common
512397,0,635665,1743961724,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,out of pairing
623295,0,635665,1743979618,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,1,492777,1743993972,1.0,0.0,3.0,34.2958,-39.025999999999996,-24.5657,-110.65,supplementary,out of pairing,supplementary,supplementary,supplementary,common
599956,0,570411,1744045667,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,common,supplementary
589639,0,635665,1744048090,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
550287,0,512397,1744097733,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
550361,0,490041,1744134302,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,supplementary,common
599956,0,493044,1744155263,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,common
599956,0,635665,1744367438,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
550287,0,512397,1744374563,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
599956,1,492777,1744399195,1.0,0.0,3.0,34.2958,-39.025999999999996,-24.5657,-110.65,supplementary,out of pairing,supplementary,supplementary,supplementary,common
599956,1,492777,1744408280,1.0,0.0,3.0,34.2958,-39.025999999999996,-24.5657,-110.65,supplementary,out of pairing,supplementary,supplementary,supplementary,common
596193,0,635665,1744417937,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,supplementary,supplementary
550361,0,596193,1744434634,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,supplementary
596193,0,492777,1744446500,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,common
599956,1,493044,1744451320,1.0,0.0,2.0,34.2958,-39.025999999999996,-20.8686,89.4217,supplementary,out of pairing,out of pairing,out of pairing,common,common
490041,0,599956,1744461559,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
550361,0,589639,1744478689,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,common,out of pairing
512397,0,550287,1744501452,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
599956,1,635665,1744536970,1.0,0.0,0.0,34.2958,-39.025999999999996,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,common,common
550287,0,512397,1744579901,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
623295,0,550361,1744583709,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,0,640464,1744593616,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
599956,1,490041,1744628344,1.0,0.0,0.0,34.2958,-39.025999999999996,34.5741,-42.0541,supplementary,out of pairing,supplementary,supplementary,common,supplementary
568093,0,632150,1744651619,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,out of pairing
599956,1,493044,1744675398,1.0,0.0,2.0,34.2958,-39.025999999999996,-20.8686,89.4217,supplementary,out of pairing,out of pairing,out of pairing,common,common
599956,0,570411,1744684100,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,common,supplementary
599956,1,589639,1744687541,1.0,0.0,0.0,34.2958,-39.025999999999996,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
596193,0,492777,1744701609,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,common
568093,0,616050,1744766179,1.0,,,,,,,supplementary,out of pairing,common,common,common,out of pairing
623295,0,635665,1744783953,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
490041,1,550361,1744790593,1.0,0.0,2.0,34.5741,-42.0541,-18.3758,91.025,supplementary,out of pairing,supplementary,supplementary,supplementary,common
599956,1,570411,1744792261,1.0,0.0,0.0,34.2958,-39.025999999999996,32.6654,-48.6701,supplementary,out of pairing,supplementary,supplementary,common,supplementary
616050,1,464459,1744807991,1.0,2.0,0.0,-20.9062,92.3982,25.0754,-40.6293,supplementary,out of pairing,common,common,supplementary,supplementary
623295,0,589639,1744835035,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
589639,0,550361,1744840068,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,common,out of pairing
568093,0,635665,1744851397,1.0,,,,,,,out of pairing,supplementary,supplementary,supplementary,supplementary,out of pairing
623295,0,596193,1744852196,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,supplementary,supplementary
599956,0,640464,1744879419,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
490041,1,623295,1744959517,1.0,0.0,3.0,34.5741,-42.0541,-25.4639,-111.249,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,1,596193,1745001733,1.0,0.0,2.0,34.2958,-39.025999999999996,-17.1099,90.7971,supplementary,out of pairing,out of pairing,out of pairing,supplementary,supplementary
599956,0,490041,1745018301,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
623295,0,550361,1745025484,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
623295,0,570411,1745031106,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
599956,0,623295,1745059206,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
623295,0,640464,1745082029,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
596193,0,640464,1745098703,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,common,supplementary
599956,1,589639,1745213357,1.0,0.0,0.0,34.2958,-39.025999999999996,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
623295,0,570411,1745223179,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
635665,1,616050,1745256301,1.0,0.0,2.0,29.3296,-37.8076,-20.9062,92.3982,out of pairing,out of pairing,common,common,supplementary,supplementary
599956,0,550361,1745284411,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,supplementary,supplementary
599956,1,589639,1745320798,1.0,0.0,0.0,34.2958,-39.025999999999996,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,0,490041,1745324310,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
599956,0,570411,1745335537,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,common,supplementary
568093,0,632150,1745433145,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,out of pairing
623295,0,490041,1745500511,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
632150,1,533140,1745513645,1.0,2.0,2.0,-27.2563,91.7676,-21.8004,89.7045,out of pairing,out of pairing,supplementary,supplementary,out of pairing,common
589639,0,490041,1745533378,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,1,635665,1745570136,1.0,0.0,0.0,34.2958,-39.025999999999996,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,common,common
616050,1,635665,1745574733,1.0,2.0,0.0,-20.9062,92.3982,29.3296,-37.8076,out of pairing,out of pairing,common,common,supplementary,common
589639,0,490041,1745579508,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
550361,0,493044,1745583584,1.0,,,,,,,common,out of pairing,out of pairing,out of pairing,supplementary,supplementary
464459,1,632150,1745603120,1.0,0.0,2.0,25.0754,-40.6293,-27.2563,91.7676,out of pairing,out of pairing,common,common,supplementary,common
490041,1,640464,1745636658,1.0,0.0,0.0,34.5741,-42.0541,35.8806,-34.5372,out of pairing,out of pairing,supplementary,supplementary,common,supplementary
599956,1,623295,1745684148,1.0,0.0,3.0,34.2958,-39.025999999999996,-25.4639,-111.249,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,1,490041,1745698000,1.0,0.0,0.0,34.2958,-39.025999999999996,34.5741,-42.0541,supplementary,out of pairing,supplementary,supplementary,common,supplementary
623295,0,570411,1745708068,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
550361,0,599956,1745801771,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,supplementary,common
490041,0,493044,1745815297,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,supplementary
596193,0,493044,1745886065,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,common,common
550361,0,623295,1745893876,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
635665,1,632150,1745896580,1.0,0.0,2.0,29.3296,-37.8076,-27.2563,91.7676,out of pairing,out of pairing,common,common,common,common
490041,0,492777,1745911843,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,supplementary,common
550287,2,657187,1745939885,170.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,3,657187,1745939885,170.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
599956,0,635665,1746062430,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
550361,0,640464,1746070301,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
490041,0,493044,1746081903,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,supplementary
512397,0,550287,1746099465,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
632150,1,464459,1746104795,1.0,2.0,0.0,-27.2563,91.7676,25.0754,-40.6293,out of pairing,out of pairing,common,common,common,common
632150,1,591682,1746117025,1.0,2.0,2.0,-27.2563,91.7676,-22.6503,92.6106,out of pairing,out of pairing,out of pairing,out of pairing,common,common
599956,1,550361,1746135905,1.0,0.0,2.0,34.2958,-39.025999999999996,-18.3758,91.025,supplementary,out of pairing,supplementary,supplementary,supplementary,common
616050,1,533140,1746188574,1.0,2.0,2.0,-20.9062,92.3982,-21.8004,89.7045,supplementary,out of pairing,common,common,out of pairing,common
623295,0,550361,1746216322,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,1,589639,1746226605,1.0,0.0,0.0,34.2958,-39.025999999999996,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,0,550361,1746248340,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,supplementary,supplementary
550361,0,490041,1746266246,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,supplementary,common
623295,0,490041,1746282805,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,1,492777,1746286063,1.0,0.0,3.0,34.2958,-39.025999999999996,-24.5657,-110.65,supplementary,out of pairing,supplementary,supplementary,supplementary,common
623295,0,599956,1746294300,1.0,,,,,,,out of pairing,out of pairing,common,common,supplementary,common
490041,0,599956,1746333856,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
616050,1,533140,1746613687,1.0,2.0,2.0,-20.9062,92.3982,-21.8004,89.7045,supplementary,out of pairing,common,common,out of pairing,common
632150,1,533140,1746690057,1.0,2.0,2.0,-27.2563,91.7676,-21.8004,89.7045,out of pairing,out of pairing,supplementary,supplementary,out of pairing,common
632150,1,464459,1746793246,1.0,2.0,0.0,-27.2563,91.7676,25.0754,-40.6293,out of pairing,out of pairing,common,common,common,common
568093,0,591682,1747128295,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,common,out of pairing
533140,0,616050,1747140044,1.0,,,,,,,supplementary,out of pairing,common,common,out of pairing,supplementary
533140,0,591682,1747171054,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
550287,2,657187,1748149332,314.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,3,657187,1748149332,314.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,0,550287,1748359889,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
512397,0,550287,1750074333,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
550287,2,657187,1750179622,445.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,3,657187,1750179622,445.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
629627,6,625756,1750534747,4.0,4.0,3.0,1.0,-165.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
629627,6,657173,1750621147,2.0,3.0,1.0,-25.0,-111.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
599441,6,657173,1750966747,5.0,3.0,1.0,-25.0,-111.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
534034,6,657173,1751225947,3.0,3.0,1.0,-25.0,-111.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,0,550287,1751525192,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
534034,6,625756,1751830747,4.0,4.0,3.0,1.0,-165.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
550287,2,657187,1751957262,792.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,3,657187,1751957262,792.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
599441,6,625756,1752176347,4.0,4.0,3.0,1.0,-165.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
585212,6,657173,1752176347,5.0,3.0,1.0,-25.0,-111.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
550287,2,657187,1752448158,331.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,3,657187,1752448158,331.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
585212,6,625756,1752521947,5.0,4.0,3.0,1.0,-165.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
550287,2,657187,1753303935,430.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,3,657187,1753303935,430.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
550287,2,657187,1753360607,122.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,3,657187,1753360607,122.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
512397,0,550287,1753750133,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
599441,6,509607,1753904347,4.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
585212,6,509607,1753904347,3.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
534034,6,499467,1754163547,5.0,1.0,2.0,-29.0,-13.0,-22.0,91.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
629627,6,499467,1754336347,2.0,1.0,2.0,-29.0,-13.0,-22.0,91.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
585212,6,499467,1754422747,5.0,1.0,2.0,-29.0,-13.0,-22.0,91.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
599441,6,499467,1754509147,2.0,1.0,2.0,-29.0,-13.0,-22.0,91.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
623295,1,635665,1755558524,1.0,3.0,0.0,-25.4639,-111.249,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
623295,0,492777,1755708333,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
538892,6,509607,1755805147,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
623295,1,635665,1755836456,1.0,3.0,0.0,-25.4639,-111.249,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
635665,0,492777,1755873532,1.0,,,,,,,out of pairing,out of pairing,common,common,common,supplementary
512397,0,550287,1755924479,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,out of pairing,out of pairing
635665,0,623295,1756056282,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
623295,0,492777,1756172673,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
623295,1,492777,1756174640,1.0,3.0,3.0,-25.4639,-111.249,-24.5657,-110.65,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
542965,6,509607,1756237147,5.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
635665,0,492777,1756303479,1.0,,,,,,,out of pairing,out of pairing,common,common,common,supplementary
